,car_name,engineSize,year,mileage,price,link
0,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr Petrol Hatchback,1.0,2019,21121,12500,www.theaa.com/used-cars/cardetails/39-948917
1,FORD FOCUS 1.0 ST-LINE 5d 139 BHP,1.0,2018,24154,10499,www.theaa.com/used-cars/cardetails/59-667413
2,FORD FOCUS 1.0 ST-LINE 5d 139 BHP,1.0,2018,39344,9500,www.theaa.com/used-cars/cardetails/59-667410
3,FORD FOCUS 1.5 ST-LINE TDCI 5d 118 BHP SAT NAV Heated Windscreen DAB Digita,1.5,2017,40000,10000,www.theaa.com/used-cars/cardetails/59-667368
4,Ford Focus Ecoboost Zetec Nav Edition One Years Approved Warranty,0.0,2017,34525,8400,www.theaa.com/used-cars/cardetails/38-278795
5,Ford Focus RS,0.0,2017,25000,27950,www.theaa.com/used-cars/cardetails/38-278773
6,Ford Focus 1.0 EcoBoost 125 Titanium 5 door,1.0,2020,2146,18999,www.theaa.com/used-cars/cardetails/50-55568
7,Ford Focus 1.0 EcoBoost Titanium 5 door,1.0,2018,36879,9295,www.theaa.com/used-cars/cardetails/50-55563
8,Ford Focus 1.0 EcoBoost 125 ST-Line X 5 door,1.0,2019,12415,15795,www.theaa.com/used-cars/cardetails/50-55562
9,Ford Focus 1.5 EcoBoost 150 ST-Line 5 door,1.5,2020,8400,16295,www.theaa.com/used-cars/cardetails/50-55560
10,Ford Focus 1.0 EcoBoost 125 ST-Line Nav 5dr Petrol Hatchback,1.0,2019,14505,14000,www.theaa.com/used-cars/cardetails/39-948566
11,Ford Focus ST-LINE TDCI SERVICE HISTORY ! MEDIA/BT/PHONE ! RESERVE & COLLEC,0.0,2017,76656,8290,www.theaa.com/used-cars/cardetails/73-587139
12,Ford Focus ZETEC EDITION TDCI,0.0,2018,35000,9995,www.theaa.com/used-cars/cardetails/73-587005
13,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,1.0,2019,3946,14350,www.theaa.com/used-cars/cardetails/137-707950
14,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,1.0,2019,11937,14000,www.theaa.com/used-cars/cardetails/137-707855
15,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,1.0,2018,11864,11074,www.theaa.com/used-cars/cardetails/137-707765
16,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr,1.0,2019,16872,14782,www.theaa.com/used-cars/cardetails/137-707610
17,Ford Focus 1.5 TDCi 120 Titanium X 5dr,1.5,2017,33596,10999,www.theaa.com/used-cars/cardetails/137-707592
18,Ford Focus 1.5 EcoBlue 120 ST-Line X 5dr,1.5,2019,16661,16500,www.theaa.com/used-cars/cardetails/137-707546
19,Ford Focus 1.0 EcoBoost 125 Titanium 5dr Auto,1.0,2018,17118,11300,www.theaa.com/used-cars/cardetails/137-707545
20,Ford Focus 1.0 EcoBoost 125 Zetec Edition 5dr,1.0,2017,18011,9400,www.theaa.com/used-cars/cardetails/137-707544
21,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,15000,11995,www.theaa.com/used-cars/cardetails/137-707292
22,Ford Focus 1.0 EcoBoost Hybrid mHEV 125 Active Edition 5dr,1.0,2020,4111,16500,www.theaa.com/used-cars/cardetails/137-707261
23,Ford Focus 1.5 EcoBoost Titanium 5dr,1.5,2018,27000,10995,www.theaa.com/used-cars/cardetails/137-707177
24,Ford Focus 1.0 EcoBoost 125 Zetec Edition 5dr,1.0,2018,18997,10046,www.theaa.com/used-cars/cardetails/137-707123
25,Ford Focus 1.0 EcoBoost 140 ST-Line Navigation 5dr,1.0,2018,45924,9800,www.theaa.com/used-cars/cardetails/137-707115
26,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr Auto,1.0,2019,14239,15000,www.theaa.com/used-cars/cardetails/137-707045
27,Ford Focus 2.0 EcoBlue 150 Active X 5dr,2.0,2020,1979,19270,www.theaa.com/used-cars/cardetails/137-706895
28,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,1.0,2019,9365,13349,www.theaa.com/used-cars/cardetails/137-706892
29,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2018,7140,19738,www.theaa.com/used-cars/cardetails/137-706761
30,Ford Focus 1.0 EcoBoost 125 ST-Line X 5dr,1.0,2019,9442,15995,www.theaa.com/used-cars/cardetails/137-706743
31,Ford Focus 1.0 EcoBoost 125 Active X 5dr,1.0,2019,9000,15595,www.theaa.com/used-cars/cardetails/137-706589
32,Ford Focus 1.0 EcoBoost 125 Titanium X 5dr,1.0,2018,12052,11490,www.theaa.com/used-cars/cardetails/137-706267
33,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,1.0,2018,9128,10750,www.theaa.com/used-cars/cardetails/137-706204
34,Ford Focus T EcoBoost ST-Line,0.0,2018,37455,9889,www.theaa.com/used-cars/cardetails/108-73213
35,Ford Focus 1L ST-Line EcoBoost T,0.0,2017,19917,10700,www.theaa.com/used-cars/cardetails/138-17443
36,Ford Focus 1.0t Ecoboost Titanium Hatchback 5dr Petrol Manual (s/s) (125 Ps,1.0,2018,14455,12995,www.theaa.com/used-cars/cardetails/109-297325
37,Ford Focus 1.5 Tdci St Line X Hatchback 5dr Diesel (s/s) (120 Ps),1.5,2018,35983,11995,www.theaa.com/used-cars/cardetails/109-297279
38,Ford Focus 1.0t Ecoboost Titanium Hatchback 5dr Petrol Manual (s/s) (125 Ps,1.0,2019,12045,13995,www.theaa.com/used-cars/cardetails/109-297271
39,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2982163
40,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2982160
41,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2982153
42,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2982151
43,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2982145
44,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2982144
45,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2982139
46,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2982137
47,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2982130
48,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2982124
49,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2982119
50,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2982096
51,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2982060
52,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2982049
53,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2982014
54,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2982008
55,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981998
56,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981986
57,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981977
58,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981975
59,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981954
60,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981952
61,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981939
62,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981885
63,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981861
64,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981838
65,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981831
66,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981793
67,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981785
68,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981780
69,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981771
70,Ford Focus 1.0 EcoBoost 125ps Titanium 5dr,1.0,2018,10235,13500,www.theaa.com/used-cars/cardetails/37-2981757
71,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981723
72,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981722
73,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981721
74,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981694
75,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981691
76,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981679
77,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981661
78,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981649
79,Ford Focus 1.0 EcoBoost 125ps Titanium 5dr,1.0,2018,10235,13500,www.theaa.com/used-cars/cardetails/37-2981635
80,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981612
81,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981609
82,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981608
83,Ford Focus 1.0 EcoBoost 125ps Titanium 5dr,1.0,2018,10235,13500,www.theaa.com/used-cars/cardetails/37-2981581
84,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981554
85,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981551
86,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981550
87,Ford Focus 1.0 EcoBoost 125ps Titanium 5dr,1.0,2018,10235,13500,www.theaa.com/used-cars/cardetails/37-2981515
88,Ford Focus 1.0 EcoBoost 125ps Titanium 5dr,1.0,2018,10235,13500,www.theaa.com/used-cars/cardetails/37-2981496
89,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981472
90,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981469
91,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981468
92,Ford Focus 1.0 EcoBoost 125ps Titanium 5dr,1.0,2018,10235,13500,www.theaa.com/used-cars/cardetails/37-2981392
93,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981339
94,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981336
95,Ford Focus 1.0 EcoBoost 100 Zetec 5dr,1.0,2018,17510,12000,www.theaa.com/used-cars/cardetails/37-2981335
96,Ford Focus 2.0T EcoBoost ST-3 5dr,2.0,2017,18637,18000,www.theaa.com/used-cars/cardetails/37-2981245
97,Ford Focus 1.5 EcoBlue 120 Titanium 5dr,1.5,2020,6877,16000,www.theaa.com/used-cars/cardetails/37-2981242
